cas_number,chemical_id,name,substance,other_name,brand,package_size,storage_location,molecular_weight,density (g/mL),state
10297-05-9,529,1-Chloro-4-iodobutane,1-氯-4-碘丁烷,,adamas,1g,1-2-3;R2,218.46,1.785,solid
10309-37-2,530,Bakuchiol,补骨脂酚,,安耐吉,1g,L6,256.38,0.963,liquid
10315-07-8,531,1-Benzylpiperidine-4-carboxylic acid,1-苄基哌啶-4-甲酸,,adamas,5g,1-4-3,219.28,1.165,solid
103-25-3,532,3-Phenylpropionic acid methyl ester,3-苯丙酸甲酯,,adamas,25g,2-4,164.2,1.043,solid
103-26-4,533,methyl cinnamate,肉桂酸甲酯,,adamas,25g,2-4,162.19,1.092,solid
103-30-0,534,trans-stilbene,"反-1,2-二苯乙烯",,adamas,0,3-4,180.25,0.97,solid
103-32-2,535,N-Phenylbenzylamine,N-苯基苄胺,,adamas,25g,3-5,183.25,1.061,solid
103-33-3,536,azobenzene,偶氮苯,,adamas,1g,4-2-2,182.22,1.09,solid
103336-06-7,537,N-BOC-ALPHA-METHYL-L-PROLINE,N-BOC-2-甲基-L-脯氨酸,,安耐吉,5g,1-4-1;1-5A,229.27,1.16,solid
10333-68-3,538,1-(2-CARBOXYPHENYL)PYRROLE,1-(2-羰基苯)吡咯,,adamas,1g,1-4-4,187.19,1.18,solid
1034449-15-4,539,"1,3-Dicyclohexylbenzimidazolium chloride, min. 97%","1,3 - 二环己基苯并咪唑氯化物",,乐研,100mg,3-2,318.89,,solid
10344-69-1,540,diethyl malonimidate dihydrochloride,丙二酰亚胺二乙酯 二盐酸盐,,adamas,5g,R2,231.12,,solid
1034901-50-2,541,"[4,4'-Bis(1,1-dimethylethyl)-2,2'-bipyridine] nickel (II) dichloride","[4,4'-双(1,1-二甲基乙基)-2,2'-联吡啶]二氯化镍(II)",,毕得,10g,gR-催化剂,398.0,,solid
103-63-9,542,(2-Bromoethyl)benzene,(2-溴乙基)苯,,adamas,25g,1-3-1,185.06,1.355,liquid
103-64-0,543,beta-bromostyrene,溴代苏合香烯,,adamas,25g,R8,183.05,1.427,liquid
10365-94-3,544,"benzene-1,3,5-tricarbonitrile","1,3,5-苯三氰基",,adamas,250mg,3-4,153.14,1.27,solid
103-67-3,545,N-Methylbenzylamine,N-甲基苄胺,,adamas,100g,3-5,121.18,0.939,liquid
103694-68-4,546,"2,2-dimethyl-3-(3-methylphenyl)propan-1-ol",美研醇,,安耐吉;adamas,5g;100g,2-2;R3,178.27,0.96,liquid
10377-51-2,547,Lithium iodide,无水碘化锂,,adamas,1g,6-1,133.85,3.49,solid
103-83-3,548,"N,N-Dimethylbenzylamine","N,N-二甲基苄胺",,adamas,100ml,3-5,135.21,0.9,liquid
103-84-4,549,Acetanilide,N-乙酰苯胺,,adamas,25g,3-5,135.16,1.121,solid
103-90-2,550,Acetaminophen,扑热息痛,,adamas,100g,4-3-2,151.16,1.293,solid
103962-05-6,551,1-iodo-4-(trifluoromethoxy)benzene,1-碘-4-(三氟甲氧基)苯,,adamas,5g,1-2-3,288.01,1.84,liquid
10401-11-3,552,3-Hydroxyphenylacetylene,3-羟苯基乙炔,,adamas,5g,3-2,118.13,1.083,solid
104-01-8,553,4-Methoxyphenylacetic acid,对甲氧基苯乙酸,,安耐吉,25g,1-4-4,166.17,1.1708,solid
104-15-4,554,p-Toluenesulfonic acid,对甲苯磺酸,,adamas,100g,3-4,172.2,1.07,solid
